timestamp,event
1602195638.887261,start_0
1602195643.216817,end_0
1602195647.249871,start_0
1602195651.562158,end_0
1602195655.598211,start_0
1602195659.9066,end_0
1602195663.693373,start_3
1602195668.005787,end_3
1602195672.170367,start_2
1602195676.474037,end_2
1602195680.7911198,start_2
1602195685.071585,end_2
1602195689.1092548,start_2
1602195693.446143,end_2
1602195697.754852,start_4
1602195702.06689,end_4
1602195705.415665,start_2
1602195709.729177,end_2
1602195713.083859,start_4
1602195717.402837,end_4
1602195721.1758459,start_3
1602195725.492065,end_3
1602195729.257642,start_3
1602195733.5762198,end_3
1602195736.937912,start_1
1602195741.258152,end_1
1602195744.625613,start_2
1602195748.947812,end_2
1602195752.4307399,start_4
1602195756.755421,end_4
1602195760.9202619,start_2
1602195765.240001,end_2
1602195768.879266,start_4
1602195773.1995342,end_4
1602195776.9649029,start_1
1602195781.2877069,end_1
1602195785.052446,start_4
1602195789.361509,end_4
1602195792.7318301,start_4
1602195797.0554519,end_4
1602195800.542576,start_2
1602195804.862159,end_2
1602195808.220555,start_3
1602195812.540062,end_3
1602195816.180466,start_2
1602195820.501676,end_2
1602195824.545281,start_4
1602195828.8349,end_4
1602195833.0359612,start_2
1602195837.3249202,end_2
1602195841.3718379,start_1
1602195845.6925771,end_1
1602195850.015315,start_3
1602195854.300715,end_3
1602195858.4952261,start_3
1602195862.789043,end_3
1602195866.9809852,start_3
1602195871.27541,end_3
1602195875.4683552,start_3
1602195879.767524,end_3
1602195883.272887,start_3
1602195887.592084,end_3
1602195891.230381,start_1
1602195895.523921,end_1
1602195899.162657,start_4
1602195903.482882,end_4
1602195907.391468,start_1
1602195911.6829052,end_1
1602195915.476459,start_3
1602195919.767453,end_3
1602195923.1586812,start_2
1602195927.452089,end_2
1602195931.090498,start_1
1602195935.423457,end_1
1602195939.07405,start_2
1602195943.407795,end_2
1602195946.9052658,start_1
1602195951.235966,end_1
1602195955.4244428,start_3
1602195959.758292,end_3
1602195963.402057,start_2
1602195967.732161,end_2
1602195971.39012,start_4
1602195975.700454,end_4
1602195979.227724,start_4
1602195983.548494,end_4
1602195986.919193,start_1
1602195991.245108,end_1
1602195995.554955,start_4
1602195999.8912902,end_4
1602196003.425041,start_2
1602196007.730191,end_2
1602196011.535074,start_1
1602196015.842165,end_1
1602196019.910818,start_3
1602196024.2410681,end_3
1602196027.888531,start_4
1602196032.248797,end_4
1602196036.596235,start_1
1602196040.903251,end_1
1602196045.115857,start_1
1602196049.431477,end_1
1602196053.360864,start_2
1602196057.696791,end_2
1602196061.886097,start_1
1602196066.212821,end_1
1602196069.584682,start_2
1602196073.936861,end_2
1602196077.720922,start_4
1602196082.047889,end_4
1602196085.829472,start_4
1602196090.1682198,end_4
1602196094.357142,start_1
1602196098.696173,end_1
1602196102.471354,start_3
1602196106.822739,end_3
1602196110.480243,start_3
1602196114.818308,end_3
1602196118.741552,start_4
1602196123.053303,end_4
1602196126.855623,start_1
1602196131.1678982,end_1
1602196135.094492,start_1
1602196139.425696,end_1
1602196143.078803,start_3
1602196147.391449,end_3
